Karun Nair,6,Batsman,RR,Indian,No
Suresh Raina,9,Batsman,GL,Indian,Yes
Brendon McCullum,8,Batsman,GL,Overseas,Yes
Aron Finch,8,Batsman,GL,Overseas,Yes
Jason Roy,5,Batsman,GL,Overseas,Yes
David Miller,8,Batsman,KXIP,Overseas,Yes
Murali Vijay,5,Batsman,KXIP,Indian,No
Hashim Amla,6,Batsman,KXIP,Overseas,No
Eon Morgan,8,Batsman,KXIP,Overseas,No
Martin Guptill,7,Batsman,KXIP,Overseas,Yes
Shaun Marsh,7,Batsman,KXIP,Overseas,No
Gautam Gambhir,8,Batsman,KKR,Indian,No
Manish Pandey,5,Batsman,KKR,Indian,No
Chris lynn,4,Batsman,KKR,Overseas,No
Rohit Sharma,10,Batsman,MI,Indian,Yes
Ambati Rayudu,7,Batsman,MI,Indian,No
Lendl Simmons,7,Batsman,MI,Overseas,No
Ajinkya Rahane,8,Batsman,RPS,Indian,No
Steve Smith,10,Batsman,RPS,Overseas,No
Faf duPlessis,8,Batsman,RPS,Overseas,No
Usman Khwaja,4,Batsman,RPS,Overseas,No
Virat Kohli,12,Batsman,RCB,Indian,Yes
AB deVilliers,12,Batsman,RCB,Overseas,Yes
Chris Gayle,11,Batsman,RCB,Overseas,Yes
Kedar Jadhav,6,Batsman,RCB,Indian,No
David Warner,11,Batsman,SRH,Overseas,Yes
Shikhar Dhawan,8,Batsman,SRH,Indian,No
Kane Williamson,7,Batsman,SRH,Overseas,No
Quinton deKock,11,Keeper,DD,Overseas,Yes
Sam Billings,5,Keeper,DD,Overseas,No
Sanju Samson,6,Keeper,DD,Indian,No
Rishabh Pant,4,Keeper,DD,Indian,No
Dinesh Kartik,7,Keeper,GL,Indian,No
Wriddhiman Saha,6,Keeper,KXIP,Indian,No
Robin Uthappa,8,Keeper,KKR,Indian,Yes
Parthiv Patel,7,Keeper,MI,Indian,No
Jos Buttler,9,Keeper,MI,Overseas,Yes
MS Dhoni,10,Keeper,RPS,Indian,Yes
KL Rahul,7,Keeper,RCB,Indian,Yes
Naman Ojha,3,Keeper,SRH,Indian,No
JP Duminy,7,All Rounder,DD,Overseas,Yes
Chris Morris,9,All Rounder,DD,Overseas,Yes
Carlos Braithwaite,8,All Rounder,DD,Overseas,No
Corey Anderson,7,All Rounder,DD,Overseas,No
Angelo Mathews,5,All Rounder,DD,Overseas,No
Ravindra Jadeja,8,All Rounder,GL,Indian,Yes
James Faulkner,7,All Rounder,GL,Overseas,Yes
Dwayne Bravo,10,All Rounder,GL,Overseas,Yes
Dwayne Smith,8,All Rounder,GL,Overseas,Yes
Glenn Maxwell,9,All Rounder,KXIP,Overseas,Yes
Darren Sammy,5,All Rounder,KXIP,Overseas,No
Shakib Al Hasan,6,All Rounder,KKR,Overseas,No
Yusuf Pathan,5,All Rounder,KKR,Indian,No
Kieron Pollard,8,All Rounder,MI,Overseas,No
Hardik Pandya,6,All Rounder,MI,Indian,No
Ben Stokes,10,All Rounder,RPS,Overseas,Yes
Dan Christian,3,All Rounder,RPS,Overseas,No
Mitch Marsh,5,All Rounder,RPS,Overseas,No
Shane Watson,7,All Rounder,RCB,Overseas,Yes
Stuart Binny,3,All Rounder,RCB,Indian,No
Pawan Negi,4,All Rounder,RCB,Indian,No
Moises Henriques,5,All Rounder,SRH,Overseas,No
Yuvraj Singh,8,All Rounder,SRH,Indian,No
Ben Cutting,4,All Rounder,SRH,Overseas,No
Chris Jordon,5,All Rounder,SRH,Overseas,No
Mohammed Nabi,3,All Rounder,SRH,Overseas,No
Zahir Khan,5,Bowler,DD,Indian,No
Mohammed Shami,5,Bowler,DD,Indian,No
Jayant Yadav,5,Bowler,DD,Indian,No
Amit Mishra,6,Bowler,DD,Indian,Yes
Kagiso Rabada,6,Bowler,DD,Overseas,No
Pat Cummins,5,Bowler,DD,Overseas,No
Pravin Kumar,5,Bowler,GL,Indian,No
Dhawal Kulkarni,5,Bowler,GL,Indian,No
Munaf Patel,3,Bowler,GL,Indian,No
Axar Patel,4,Bowler,KXIP,Indian,No
Sandeep Sharma,5,Bowler,KXIP,Indian,No
Mohit Sharma,3,Bowler,KXIP,Indian,No
Varun Aron,3,Bowler,KXIP,Indian,No
Matt Henry,4,Bowler,KXIP,Overseas,No
Sunil Narine,7,Bowler,KKR,Overseas,Yes
Piyush Chawla,7,Bowler,KKR,Indian,No
Umesh Yadav,6,Bowler,KKR,Indian,No
Trent Boult,8,Bowler,KKR,Overseas,No
Nathan Coulter-Nile,5,Bowler,KKR,Overseas,No
Chris Woakes,5,Bowler,KKR,Overseas,No
Kuldeep yadav,4,Bowler,KKR,Indian,No
Lasith Malinga,7,Bowler,MI,Overseas,Yes
Harbhajan Singh,7,Bowler,MI,Indian,No
Jaspreet Bumrah,8,Bowler,MI,Indian,Yes
Mitch McGlenaghan,8,Bowler,MI,Overseas,Yes
Tim Southee,6,Bowler,MI,Overseas,Yes
Mitch Johnson,5,Bowler,MI,Overseas,No
Vinay Kumar,5,Bowler,MI,Indian,No
R Ashwin,10,Bowler,RPS,Indian,Yes
Adam Zampa,3,Bowler,RPS,Overseas,No
Yuzavendra Chahal,8,Bowler,RCB,Indian,No
Adam Milne,6,Bowler,RCB,Overseas,No
Samuel Badree,6,Bowler,RCB,Overseas,Yes
Tymal Mills,8,Bowler,RCB,Overseas,No
Bhuvneshwar Kumar,6,Bowler,SRH,Indian,Yes
Ashish Nehra,5,Bowler,SRH,Indian,Yes
Mustafizur Rahman,7,Bowler,SRH,Overseas,Yes
Pravin Tambe,3,Bowler,SRH,Indian,No